   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.03861195E-03  6.62649022E-04 -5.01410648E-01  5.01412162E-01  0.00000000E+00
     100  2.75378325E-06  8.45204938E-05 -5.01526161E-01  5.01526168E-01  0.00000000E+00
     200 -1.71088160E-05 -4.46271324E-05 -5.01764298E-01  5.01764300E-01  0.00000000E+00
     300  3.19177089E-05 -8.10832778E-05 -5.01783154E-01  5.01783161E-01  0.00000000E+00
     400  7.74935079E-05 -8.30828032E-05 -5.01799770E-01  5.01799783E-01  0.00000000E+00
     500  1.11617755E-04 -4.19361094E-05 -5.01738199E-01  5.01738213E-01  0.00000000E+00
     600  1.29976531E-04 -2.96529943E-06 -5.01452091E-01  5.01452108E-01  0.00000000E+00
     700  1.36550029E-04  1.88307809E-05 -5.01046278E-01  5.01046297E-01  0.00000000E+00
     800  1.14544774E-04  1.14972388E-05 -5.00741940E-01  5.00741953E-01  0.00000000E+00
     900  6.92425204E-05  1.26477751E-05 -5.00605242E-01  5.00605247E-01  0.00000000E+00
    1000  5.74969392E-05 -8.37462896E-06 -5.00369687E-01  5.00369691E-01  0.00000000E+00
