#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.447577  0.666106  0.009582
     911  0.447784  0.666093  0.009813
     921  0.447857  0.666083  0.010002
     931  0.448119  0.666074  0.010173
     941  0.448401  0.666065  0.010333
     951  0.448665  0.666057  0.010481
     961  0.448983  0.666050  0.010627
     971  0.449204  0.666043  0.010760
     981  0.449359  0.666037  0.010875
     991  0.449440  0.666032  0.010972
     901  0.473825  0.666520  0.005776
     911  0.473793  0.666520  0.005765
     921  0.473748  0.666520  0.005749
     931  0.473774  0.666521  0.005729
     941  0.473835  0.666521  0.005707
     951  0.473909  0.666522  0.005684
     961  0.473955  0.666522  0.005659
     971  0.474059  0.666523  0.005637
     981  0.474130  0.666523  0.005614
     991  0.474213  0.666524  0.005593
     901  0.491672  0.666585  0.008528
     911  0.491689  0.666586  0.008511
     921  0.491743  0.666586  0.008490
     931  0.491795  0.666586  0.008465
     941  0.491919  0.666586  0.008454
     951  0.492033  0.666586  0.008451
     961  0.492155  0.666586  0.008458
     971  0.492269  0.666586  0.008472
     981  0.492445  0.666586  0.008514
     991  0.492562  0.666585  0.008560
     901  0.502676  0.666665  0.002812
     911  0.502647  0.666665  0.002891
     921  0.502625  0.666665  0.002969
     931  0.502612  0.666665  0.003039
     941  0.502604  0.666665  0.003098
     951  0.502593  0.666665  0.003150
     961  0.502572  0.666665  0.003204
     971  0.502549  0.666665  0.003262
     981  0.502521  0.666665  0.003330
     991  0.502503  0.666665  0.003396
