   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -5.91134512E-04  1.06688732E-03 -5.02972780E-01  5.02974259E-01  0.00000000E+00
     100  1.22890619E-05  2.25089133E-05 -5.04181965E-01  5.04181965E-01  0.00000000E+00
     200  2.60305614E-05  4.10271871E-05 -5.03323429E-01  5.03323432E-01  0.00000000E+00
     300 -2.66765801E-05  5.90441305E-05 -5.02244123E-01  5.02244127E-01  0.00000000E+00
     400 -3.27023436E-05  4.02379926E-05 -5.01121552E-01  5.01121554E-01  0.00000000E+00
     500 -2.05819511E-05  6.45462178E-05 -5.00022981E-01  5.00022985E-01  0.00000000E+00
     600 -1.04649527E-05  3.47674720E-05 -4.99005778E-01  4.99005780E-01  0.00000000E+00
     700 -2.09126436E-08  4.68605238E-05 -4.98137915E-01  4.98137917E-01  0.00000000E+00
     800 -1.78593363E-05  3.51639150E-05 -4.97336317E-01  4.97336318E-01  0.00000000E+00
     900 -1.15963776E-05  3.27044595E-05 -4.96704171E-01  4.96704172E-01  0.00000000E+00
    1000 -1.60911870E-05 -2.56288617E-06 -4.96137376E-01  4.96137376E-01  0.00000000E+00
