#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.461649  0.666403  0.004853
     911  0.461940  0.666401  0.004891
     921  0.462131  0.666399  0.004927
     931  0.462436  0.666396  0.004977
     941  0.462751  0.666393  0.005040
     951  0.463020  0.666390  0.005110
     961  0.463252  0.666386  0.005179
     971  0.463468  0.666383  0.005248
     981  0.463681  0.666379  0.005316
     991  0.463974  0.666375  0.005392
     901  0.477826  0.666535  0.005230
     911  0.477939  0.666536  0.005213
     921  0.478044  0.666536  0.005197
     931  0.478199  0.666536  0.005189
     941  0.478312  0.666537  0.005184
     951  0.478473  0.666537  0.005186
     961  0.478492  0.666537  0.005183
     971  0.478606  0.666537  0.005182
     981  0.478658  0.666537  0.005178
     991  0.478767  0.666537  0.005176
     901  0.500025  0.666556  0.012037
     911  0.500092  0.666556  0.012027
     921  0.500150  0.666556  0.012007
     931  0.500149  0.666557  0.011976
     941  0.500152  0.666557  0.011935
     951  0.500186  0.666558  0.011888
     961  0.500277  0.666558  0.011845
     971  0.500319  0.666559  0.011797
     981  0.500351  0.666559  0.011746
     991  0.500395  0.666560  0.011693
     901  0.506038  0.666662  0.011531
     911  0.505982  0.666661  0.011849
     921  0.505935  0.666661  0.012169
     931  0.505881  0.666661  0.012512
     941  0.505824  0.666661  0.012881
     951  0.505765  0.666661  0.013281
     961  0.505713  0.666661  0.013691
     971  0.505666  0.666660  0.014096
     981  0.505618  0.666660  0.014503
     991  0.505576  0.666660  0.014897
